malware_name,nodes_num,edgs_num,,,
04528ba73e5db5808b1ca32b1e9e4f17.exe.gexf,5,3,1380.494132,2164.722012,15497
1e65c7338f5758e8fc62689fcf442a6c.exe.gexf,5,3,,,
269c02f49668b610ca9655c463a362b9.exe.gexf,5,2,,,
2820dd5bc2b2f157742f928d8e36988a.exe.gexf,5,3,,,
313321a84e12bf3288d4653089aefe78.exe.gexf,5,3,,,
3b5d757f7e1c2414df149a0aff558e96.exe.gexf,5,4,,,
3ba576fbad76327e812ce823e6b04293.exe.gexf,5,2,,,
426535e3ccf20b67925a70f8403e85a0.exe.gexf,5,3,,,
52d6b9b58b6d82f978139d1c889d35d1.exe.gexf,5,3,,,
5faee790312b2aebd5691d9eb74abd56.exe.gexf,5,3,,,
6cc913d5d208862feaf0f58c653f77cd.exe.gexf,5,3,,,
6eeea79a6ec0f97ba9977e96decd73d4.exe.gexf,5,0,,,
7673ea4a0cfa19d3692fd33de7351359.exe.gexf,5,2,,,
ab2ce0d9deea4b8144d7a4c4a3bde953.exe.gexf,5,3,,,
ad7133b25738711206d44391255e9a18.exe.gexf,5,2,,,
b8cb7de7897292dbdc1e60006820d829.exe.gexf,5,3,,,
b9d455c60292df5fcb064834ca5802aa.exe.gexf,5,3,,,
c4bc831e9d912c2f2be5caca51258370.exe.gexf,5,3,,,
cdecab6ac8b27fa8e65697d502346fda.exe.gexf,5,3,,,
cf52a021dd3abd76f57a8d5e00e2d6d4.exe.gexf,5,2,,,
d4acb4dadf4526c4b6ca623e94edc3cc.gexf,5,4,,,
de2afb6fe857a1c5c1fcf02a82459256.exe.gexf,5,3,,,
eaa8321d4e0f3110d63259de0d845719.exe.gexf,5,3,,,
f93f633098caa8ab9a68b04882930266.gexf,5,2,,,
ff10ef5f4aa08df4ca0c471db161424e.exe.gexf,5,3,,,
726fafb82a3f311ad9be075f5f0701c7.gexf,6,3,,,
7f26fc554dfc1549f215c61054fda4f3.exe.gexf,6,3,,,
922957d44da72544bcb0e5706ca491ca.exe.gexf,6,3,,,
968bdf59d5d892fa00e72c44b19b412e.exe.gexf,6,5,,,
c2171cdb6cf9468b59b1c330141fac72.EXE.gexf,6,3,,,
f4e0b81714708faeeaba32d2936cd47e.EXE.gexf,6,3,,,
fc21023506fa03fe421d6f5ebae5a32b.exe.gexf,6,4,,,
0cbfbab370b9568913eac06970f04c63.exe.gexf,7,8,,,
2474fe53fd5908c5e00280ab42fbc276.exe.gexf,7,5,,,
252be172507aaa266dfaeb9d822f0db3.exe.gexf,7,6,,,
35ceda6253d964049e4678b174f2c73b.exe.gexf,7,8,,,
38754254da04db0e88be6b3e832f834b.exe.gexf,7,8,,,
38fb60a38d31abf04971874e83cdc2a7.exe.gexf,7,8,,,
3babb2d2e6c1353e105281325665aef2.exe.gexf,7,8,,,
3cc6b3080a82156595e0cff51b5d2b52.exe.gexf,7,8,,,
418e4530b74745a38209ebc2414afddc.exe.gexf,7,8,,,
45276dcd9aa330fde2a79ba1d2a71af5.exe.gexf,7,6,,,
4bf14e21bca682d22d718e8eec84397e.exe.gexf,7,6,,,
514ed6a45f057266abd4da60073713ca.exe.gexf,7,4,,,
573161f5516b73fb1380e47c84ea4677.exe.gexf,7,6,,,
6c0f5f55f0845158c3f3fc68cd663bfe.exe.gexf,7,8,,,
71ac8f9f82677bf0045ea4aaacdf1caa.exe.gexf,7,8,,,
7953dfb2ad033587a14576c7965c5448.exe.gexf,7,8,,,
8b3b7bd130b7097c186d5dfc208feb23.exe.gexf,7,6,,,
91838288364cd9d3227cd03ddc7c3894.exe.gexf,7,8,,,
96684a2f795363e836d04d0567b3b908.exe.gexf,7,6,,,
a0d81904961e8d9b8df35363de5ecd7a.exe.gexf,7,6,,,
a49bf242160bfc1b1de8989eba6e9abe.exe.gexf,7,6,,,
a6df872ba056d200bdb12212cf1560d5.exe.gexf,7,8,,,
aa44806d1153d8efe484631a7b97d6c2.exe.gexf,7,8,,,
abb7be158d0c779aa56a8ef1b7c89a81.exe.gexf,7,8,,,
acba62c186b59495ae986f14cd0fb9c4.exe.gexf,7,8,,,
ad4d77e14baa4819a22293ad70aa9fe9.exe.gexf,7,3,,,
bf402bdb71f7eb5f4860c0232e2d5bda.exe.gexf,7,6,,,
c5ed191099872638f47901599e404e9c.exe.gexf,7,6,,,
d36a9185a2d1d18c9ea5ccad020e0596.exe.gexf,7,8,,,
d5f627ef416494577f0858f95bba224e.exe.gexf,7,6,,,
d62acd03417b768e4ea652f5f2764e78.exe.gexf,7,6,,,
e4809258c96975948d7cc40db6e2651e.exe.gexf,7,8,,,
e6acdbae17d4d77b1fadd89b2e1d0f0f.exe.gexf,7,6,,,
ecf77a75c9d77a76fe737422232a6654.exe.gexf,7,8,,,
ed24d9469624e189c4c3781c7d2b2f15.exe.gexf,7,6,,,
f0fcf232f115d20732186ca32bd077d7.exe.gexf,7,5,,,
f38afbaad5065b04a7bdbf7fb7a8c28b.exe.gexf,7,8,,,
